,name,twitter,party,title,gender,state,district
324,J. French Hill,RepFrenchHill,Republican,house of representatives,M,arkansas,2.0
325,Bruce Westerman,RepWesterman,Republican,house of representatives,M,arkansas,4.0
326,Ruben Gallego,RepRubenGallego,Democrat,house of representatives,M,arizona,7.0
327,Mark DeSaulnier,RepDeSaulnier,Democrat,house of representatives,M,california,11.0
328,Pete Aguilar,reppeteaguilar,Democrat,house of representatives,M,california,31.0
329,Ted Lieu,RepTedLieu,Democrat,house of representatives,M,california,33.0
330,Norma J. Torres,NormaJTorres,Democrat,house of representatives,F,california,35.0
331,Ken Buck,RepKenBuck,Republican,house of representatives,M,colorado,4.0
332,"Earl L. ""Buddy"" Carter",RepBuddyCarter,Republican,house of representatives,M,georgia,1.0
333,Jody B. Hice,congressmanhice,Republican,house of representatives,M,georgia,10.0
334,Barry Loudermilk,RepLoudermilk,Republican,house of representatives,M,georgia,11.0
335,Rick W. Allen,reprickallen,Republican,house of representatives,M,georgia,12.0
336,Mike Bost,RepBost,Republican,house of representatives,M,illinois,12.0
337,Ralph Lee Abraham,RepAbraham,Republican,house of representatives,M,louisiana,5.0
338,Garret Graves,RepGarretGraves,Republican,house of representatives,M,louisiana,6.0
339,Seth Moulton,teammoulton,Democrat,house of representatives,M,massachusetts,6.0
340,John R. Moolenaar,RepMoolenaar,Republican,house of representatives,M,michigan,4.0
341,Debbie Dingell,RepDebDingell,Democrat,house of representatives,F,michigan,12.0
342,Brenda L. Lawrence,RepLawrence,Democrat,house of representatives,F,michigan,14.0
343,Tom Emmer,RepTomEmmer,Republican,house of representatives,M,minnesota,6.0
344,David Rouzer,RepDavidRouzer,Republican,house of representatives,M,north carolina,7.0
345,Bonnie Watson Coleman,RepBonnie,Democrat,house of representatives,F,new jersey,12.0
346,Lee M. Zeldin,RepLeeZeldin,Republican,house of representatives,M,new york,1.0
347,Kathleen M. Rice,RepKathleenRice,Democrat,house of representatives,F,new york,4.0
348,Elise M. Stefanik,RepStefanik,Republican,house of representatives,F,new york,21.0
349,John Katko,RepJohnKatko,Republican,house of representatives,M,new york,24.0
350,Brendan F. Boyle,CongBoyle,Democrat,house of representatives,M,pennsylvania,2.0
351,Will Hurd,hurdonthehill,Republican,house of representatives,M,texas,23.0
352,Brian Babin,RepBrianBabin,Republican,house of representatives,M,texas,36.0
353,"Donald S. Beyer, Jr.",RepDonBeyer,Democrat,house of representatives,M,vermont,8.0
354,Stacey E. Plaskett,staceyplaskett,Democrat,house of representatives,F,VI,0.0
355,Dan Newhouse,RepNewhouse,Republican,house of representatives,M,washington,4.0
356,Glenn Grothman,RepGrothman,Republican,house of representatives,M,wisconsin,6.0
357,Alexander X. Mooney,RepAlexMooney,Republican,house of representatives,M,west virginia,2.0
358,Aumua Amata Coleman Radewagen,RepAmata,Republican,house of representatives,F,AS,0.0
359,Dan Sullivan,SenDanSullivan,Republican,senator,M,alaska,
360,David Perdue,sendavidperdue,Republican,senator,M,georgia,
361,Joni Ernst,SenJoniErnst,Republican,senator,F,iowa,
362,Thom Tillis,senthomtillis,Republican,senator,M,north carolina,
363,Mike Rounds,SenatorRounds,Republican,senator,M,south dakota,
364,Mark Walker,RepMarkWalker,Republican,house of representatives,M,north carolina,6.0
365,Ben Sasse,SenSasse,Republican,senator,M,nebraska,
366,Trent Kelly,reptrentkelly,Republican,house of representatives,M,mississippi,1.0
367,Darin LaHood,RepLaHood,Republican,house of representatives,M,illinois,18.0
368,Warren Davidson,WarrenDavidson,Republican,house of representatives,M,ohio,8.0
369,James Comer,,Republican,house of representatives,M,kentucky,1.0
370,Dwight Evans,RepDwightEvans,Democrat,house of representatives,M,pennsylvania,3.0
371,Kamala D. Harris,SenKamalaHarris,Democrat,senator,F,california,
372,John Kennedy,SenJohnKennedy,Republican,senator,M,louisiana,
373,Margaret Wood Hassan,Senatorhassan,Democrat,senator,F,new hampshire,
374,Catherine Cortez Masto,sencortezmasto,Democrat,senator,F,nevada,
375,Bradley Scott Schneider,repschneider,Democrat,house of representatives,M,illinois,10.0
