phrase,total_occurrences,bias_score,p_dem,p_rep,n_dem,n_rep
unacceptable,372,-0.5787703707601309,0.007589911256422233,0.002025054158425167,325,43
quarantine,372,0.1112904236908512,0.005347968239140588,0.0066873881510784595,229,142
files,371,0.2808702383696853,0.004600653900046707,0.008194405199208816,197,174
sent letter,371,0.2557132455677015,0.004717421765530126,0.007958933785438448,202,169
friday,370,-0.17880340154937044,0.006422232601588043,0.004473956861636997,275,95
extend,370,-0.4426970991519064,0.0071929005137786085,0.0027785626824903455,308,59
return,369,0.12344015316152498,0.005254553946753854,0.006734482433832532,225,143
senator,367,0.47978655623585115,0.003526389537599253,0.010031082226617688,151,213
spreading,367,0.06435215680337324,0.005464736104624008,0.006216445323537723,234,132
relief bill,367,0.0020822203700808658,0.005721625408687529,0.005745502495996986,245,122
starting,367,-0.07346446041235183,0.006001868285847735,0.005180371102948102,257,110
855,367,-0.410527668266615,0.007099486221391873,0.00296693981350664,304,63
contain,367,0.05632389147023477,0.005511443250817375,0.006169351040783649,236,131
medical supplies,366,-0.01662111860233295,0.005744978981784213,0.005557125364980691,246,118
hand,365,0.22762639604605103,0.00474077533862681,0.0075350852406517845,203,160
https www facebook,364,-0.7027517094206341,0.007823446987389071,0.001365734199868136,335,29
https www facebook com,364,-0.7027517094206341,0.007823446987389071,0.001365734199868136,335,29
updated,364,0.21466846155807254,0.004810836057916861,0.007440896675143638,206,158
producers,364,0.7854521820816096,0.0016581036898645493,0.013798624846943582,71,293
task force,364,0.2873729414380463,0.004483886034563288,0.008100216633700669,192,172
helpful,363,0.2717512248571486,0.004530593180756656,0.007911839502684374,194,168
say,363,-0.012680409689327638,0.005651564689397478,0.005510031082226617,242,117
index,361,0.49617306807219363,0.0034096216721158337,0.010125270792125836,146,215
importance,361,0.12147723533075756,0.005091078935077067,0.0064990110200621645,218,138
party,360,0.786196668915391,0.0016347501167678655,0.01365734199868136,70,290
nursing homes,359,0.01867908520042609,0.005534796823914059,0.005745502495996986,237,122
health care providers,359,0.09131541634135412,0.005254553946753854,0.006310633889045869,225,134
set,358,-0.058253392947543926,0.005768332554880897,0.005133276820194028,247,109
health emergency,358,-0.3265504320462597,0.006679121905651565,0.003390788358293303,286,72
tips,356,0.08228993783038822,0.0052312003736571695,0.006169351040783649,224,131
